=== INVENTÁRIO DE SOFTWARE - AMDY (OMARCHY/ARCH) ===
Gerado em: Wed Jul  1 12:22:58 AM -03 2026
===================================================

[1. PACMAN OFFICIAL PACKAGES]
Origem: Pacman (Oficial) | Pacote: 1password-beta | Versão: 8.12.24_31.BETA-31.1
Origem: Pacman (Oficial) | Pacote: 1password-cli | Versão: 2.34.1-1
Origem: Pacman (Oficial) | Pacote: 7zip | Versão: 26.01-1
Origem: Pacman (Oficial) | Pacote: aalib | Versão: 1.4rc5-19
Origem: Pacman (Oficial) | Pacote: abseil-cpp | Versão: 20260107.1-1
Origem: Pacman (Oficial) | Pacote: accountsservice | Versão: 26.13.3-1
Origem: Pacman (Oficial) | Pacote: acl | Versão: 2.3.2-2
Origem: Pacman (Oficial) | Pacote: adwaita-cursors | Versão: 50.0-1
Origem: Pacman (Oficial) | Pacote: adwaita-fonts | Versão: 50.0-1
Origem: Pacman (Oficial) | Pacote: adwaita-icon-theme | Versão: 50.0-1
Origem: Pacman (Oficial) | Pacote: adwaita-icon-theme-legacy | Versão: 46.2-3
Origem: Pacman (Oficial) | Pacote: aether | Versão: 4.27.2-1
Origem: Pacman (Oficial) | Pacote: alacritty | Versão: 0.17.0-1
Origem: Pacman (Oficial) | Pacote: alsa-card-profiles | Versão: 1:1.6.5-1
Origem: Pacman (Oficial) | Pacote: alsa-lib | Versão: 1.2.15.3-2
Origem: Pacman (Oficial) | Pacote: alsa-plugins | Versão: 1:1.2.12-5
Origem: Pacman (Oficial) | Pacote: alsa-topology-conf | Versão: 1.2.5.1-4
Origem: Pacman (Oficial) | Pacote: alsa-ucm-conf | Versão: 1.2.15.3-1
Origem: Pacman (Oficial) | Pacote: alsa-utils | Versão: 1.2.15.2-2
Origem: Pacman (Oficial) | Pacote: amd-ucode | Versão: 20260519-1
Origem: Pacman (Oficial) | Pacote: aom | Versão: 3.14.1-1
Origem: Pacman (Oficial) | Pacote: appstream | Versão: 1.1.2-1
Origem: Pacman (Oficial) | Pacote: aquamarine | Versão: 0.11.0-2
Origem: Pacman (Oficial) | Pacote: archlinux-keyring | Versão: 20260420-1
Origem: Pacman (Oficial) | Pacote: argon2 | Versão: 20190702-6
Origem: Pacman (Oficial) | Pacote: asdcontrol | Versão: 1:0.6.0-1
Origem: Pacman (Oficial) | Pacote: at-spi2-core | Versão: 2.60.4-1
Origem: Pacman (Oficial) | Pacote: atkmm | Versão: 2.28.4-2
Origem: Pacman (Oficial) | Pacote: attica | Versão: 6.26.0-1
Origem: Pacman (Oficial) | Pacote: attr | Versão: 2.5.2-2
Origem: Pacman (Oficial) | Pacote: audit | Versão: 4.1.4-2
Origem: Pacman (Oficial) | Pacote: autoconf | Versão: 2.73-1
Origem: Pacman (Oficial) | Pacote: automake | Versão: 1.18.1-1
Origem: Pacman (Oficial) | Pacote: avahi | Versão: 1:0.9rc4-1
Origem: Pacman (Oficial) | Pacote: ayatana-ido | Versão: 0.10.4-1
Origem: Pacman (Oficial) | Pacote: base | Versão: 3-3
Origem: Pacman (Oficial) | Pacote: base-devel | Versão: 1-2
Origem: Pacman (Oficial) | Pacote: bash | Versão: 5.3.9-1
Origem: Pacman (Oficial) | Pacote: bash-completion | Versão: 2.17.0-3
Origem: Pacman (Oficial) | Pacote: bat | Versão: 0.26.1-2
Origem: Pacman (Oficial) | Pacote: binutils | Versão: 2.46+r70+g155188ea10a7-1
Origem: Pacman (Oficial) | Pacote: bison | Versão: 3.8.2-8
Origem: Pacman (Oficial) | Pacote: blas | Versão: 3.12.1-2
Origem: Pacman (Oficial) | Pacote: bluetui | Versão: 0.8.1-2
Origem: Pacman (Oficial) | Pacote: bluez | Versão: 5.86-6
Origem: Pacman (Oficial) | Pacote: bluez-libs | Versão: 5.86-6
Origem: Pacman (Oficial) | Pacote: bolt | Versão: 0.9.11-1
Origem: Pacman (Oficial) | Pacote: boost-libs | Versão: 1.91.0-1
Origem: Pacman (Oficial) | Pacote: breeze-icons | Versão: 6.26.0-1
Origem: Pacman (Oficial) | Pacote: brightnessctl | Versão: 0.5.1-3
Origem: Pacman (Oficial) | Pacote: brotli | Versão: 1.2.0-1
Origem: Pacman (Oficial) | Pacote: btop | Versão: 1.4.7-1
Origem: Pacman (Oficial) | Pacote: btrfs-progs | Versão: 7.0-1
Origem: Pacman (Oficial) | Pacote: bubblewrap | Versão: 0.11.2-1
Origem: Pacman (Oficial) | Pacote: bzip2 | Versão: 1.0.8-6
Origem: Pacman (Oficial) | Pacote: c-ares | Versão: 1.34.6-1
Origem: Pacman (Oficial) | Pacote: ca-certificates | Versão: 20240618-1
Origem: Pacman (Oficial) | Pacote: ca-certificates-mozilla | Versão: 3.124-1
Origem: Pacman (Oficial) | Pacote: ca-certificates-utils | Versão: 20240618-1
Origem: Pacman (Oficial) | Pacote: cabextract | Versão: 1.11-2
Origem: Pacman (Oficial) | Pacote: cairo | Versão: 1.18.4-1
Origem: Pacman (Oficial) | Pacote: cairomm | Versão: 1.14.5-3
Origem: Pacman (Oficial) | Pacote: cblas | Versão: 3.12.1-2
Origem: Pacman (Oficial) | Pacote: cdparanoia | Versão: 10.2-9
Origem: Pacman (Oficial) | Pacote: chromium | Versão: 148.0.7778.178-1
Origem: Pacman (Oficial) | Pacote: cifs-utils | Versão: 7.5-1
Origem: Pacman (Oficial) | Pacote: cjson | Versão: 1.7.19-1
Origem: Pacman (Oficial) | Pacote: clang | Versão: 22.1.5-1
Origem: Pacman (Oficial) | Pacote: claude-code | Versão: 2.1.179-1
Origem: Pacman (Oficial) | Pacote: cliamp | Versão: 1.52.0-1
Origem: Pacman (Oficial) | Pacote: clucene | Versão: 2.3.3.4-17
Origem: Pacman (Oficial) | Pacote: cmark | Versão: 0.31.2-1
Origem: Pacman (Oficial) | Pacote: compiler-rt | Versão: 22.1.5-1
Origem: Pacman (Oficial) | Pacote: composefs | Versão: 1.0.8-1
Origem: Pacman (Oficial) | Pacote: containerd | Versão: 2.3.1-1
Origem: Pacman (Oficial) | Pacote: convertlit | Versão: 1.8-13
Origem: Pacman (Oficial) | Pacote: coreutils | Versão: 9.11-1
Origem: Pacman (Oficial) | Pacote: cpio | Versão: 2.15-3
Origem: Pacman (Oficial) | Pacote: cracklib | Versão: 2.10.3-1
Origem: Pacman (Oficial) | Pacote: cryptsetup | Versão: 2.8.6-1
Origem: Pacman (Oficial) | Pacote: cups | Versão: 2:2.4.19-1
Origem: Pacman (Oficial) | Pacote: cups-browsed | Versão: 2.1.1-1
Origem: Pacman (Oficial) | Pacote: cups-filters | Versão: 2.0.1-2
Origem: Pacman (Oficial) | Pacote: cups-pdf | Versão: 3.0.3-1
Origem: Pacman (Oficial) | Pacote: curl | Versão: 8.20.0-7
Origem: Pacman (Oficial) | Pacote: dav1d | Versão: 1.5.3-1
Origem: Pacman (Oficial) | Pacote: db5.3 | Versão: 5.3.28-7
Origem: Pacman (Oficial) | Pacote: dbus | Versão: 1.16.2-1
Origem: Pacman (Oficial) | Pacote: dbus-broker | Versão: 37-3
Origem: Pacman (Oficial) | Pacote: dbus-broker-units | Versão: 37-3
Origem: Pacman (Oficial) | Pacote: dbus-units | Versão: 37-3
Origem: Pacman (Oficial) | Pacote: dconf | Versão: 0.49.0-1
Origem: Pacman (Oficial) | Pacote: debugedit | Versão: 5.3-1
Origem: Pacman (Oficial) | Pacote: default-cursors | Versão: 3-1
Origem: Pacman (Oficial) | Pacote: deno | Versão: 2.8.0-1
Origem: Pacman (Oficial) | Pacote: desktop-file-utils | Versão: 0.28-1
Origem: Pacman (Oficial) | Pacote: device-mapper | Versão: 2.03.41-1
Origem: Pacman (Oficial) | Pacote: diffutils | Versão: 3.12-2
Origem: Pacman (Oficial) | Pacote: djvulibre | Versão: 3.5.30-1
Origem: Pacman (Oficial) | Pacote: docker | Versão: 1:29.5.1-1
Origem: Pacman (Oficial) | Pacote: docker-buildx | Versão: 0.34.1-1
Origem: Pacman (Oficial) | Pacote: docker-compose | Versão: 5.1.4-1
Origem: Pacman (Oficial) | Pacote: dosfstools | Versão: 4.2-5
Origem: Pacman (Oficial) | Pacote: dotnet-host | Versão: 10.0.4.sdk104-1
