=== INVENTÁRIO DE SOFTWARE - DEBIAN 13 ===
Gerado em: qua 01 jul 2026 00:20:02 -03
=========================================

[1. APT / SYSTEM PACKAGES]
Origem: APT | Pacote: adduser | Versão: 3.152
Origem: APT | Pacote: adwaita-icon-theme | Versão: 48.1-1
Origem: APT | Pacote: alsa-topology-conf | Versão: 1.2.5.1-3
Origem: APT | Pacote: alsa-ucm-conf | Versão: 1.2.14-1
Origem: APT | Pacote: apparmor | Versão: 4.1.0-1
Origem: APT | Pacote: apt | Versão: 3.0.3
Origem: APT | Pacote: apt-listchanges | Versão: 4.8
Origem: APT | Pacote: apt-utils | Versão: 3.0.3
Origem: APT | Pacote: aspell | Versão: 0.60.8.1-4
Origem: APT | Pacote: aspell-pt-br | Versão: 20131030-19
Origem: APT | Pacote: at-spi2-common | Versão: 2.56.2-1+deb13u1
Origem: APT | Pacote: at-spi2-core | Versão: 2.56.2-1+deb13u1
Origem: APT | Pacote: base-files | Versão: 13.8+deb13u5
Origem: APT | Pacote: base-passwd | Versão: 3.6.7
Origem: APT | Pacote: bash | Versão: 5.2.37-2+b9
Origem: APT | Pacote: bash-completion | Versão: 1:2.16.0-7
Origem: APT | Pacote: bind9-dnsutils | Versão: 1:9.20.23-1~deb13u1
Origem: APT | Pacote: bind9-host | Versão: 1:9.20.23-1~deb13u1
Origem: APT | Pacote: bind9-libs | Versão: 1:9.20.23-1~deb13u1
Origem: APT | Pacote: binutils | Versão: 2.44-3
Origem: APT | Pacote: binutils-common | Versão: 2.44-3
Origem: APT | Pacote: binutils-x86-64-linux-gnu | Versão: 2.44-3
Origem: APT | Pacote: bsdextrautils | Versão: 2.41-5
Origem: APT | Pacote: bsdutils | Versão: 1:2.41-5
Origem: APT | Pacote: build-essential | Versão: 12.12
Origem: APT | Pacote: busybox | Versão: 1:1.37.0-6+b8
Origem: APT | Pacote: bzip2 | Versão: 1.0.8-6
Origem: APT | Pacote: ca-certificates | Versão: 20250419
Origem: APT | Pacote: ca-certificates-java | Versão: 20240118
Origem: APT | Pacote: cloudflared | Versão: 2026.6.1
Origem: APT | Pacote: cmake | Versão: 3.31.6-2
Origem: APT | Pacote: cmake-data | Versão: 3.31.6-2
Origem: APT | Pacote: console-setup | Versão: 1.242~deb13u1
Origem: APT | Pacote: console-setup-linux | Versão: 1.242~deb13u1
Origem: APT | Pacote: coreutils | Versão: 9.7-3
Origem: APT | Pacote: cpio | Versão: 2.15+dfsg-2
Origem: APT | Pacote: cpp | Versão: 4:14.2.0-1
Origem: APT | Pacote: cpp-14 | Versão: 14.2.0-19
Origem: APT | Pacote: cpp-14-x86-64-linux-gnu | Versão: 14.2.0-19
Origem: APT | Pacote: cpp-x86-64-linux-gnu | Versão: 4:14.2.0-1
Origem: APT | Pacote: cron | Versão: 3.0pl1-197
Origem: APT | Pacote: cron-daemon-common | Versão: 3.0pl1-197
Origem: APT | Pacote: cuda-drivers | Versão: 610.43.02-1
Origem: APT | Pacote: cuda-keyring | Versão: 1.1-1
Origem: APT | Pacote: curl | Versão: 8.14.1-2+deb13u3
Origem: APT | Pacote: dash | Versão: 0.5.12-12
Origem: APT | Pacote: dbus | Versão: 1.16.2-2
Origem: APT | Pacote: dbus-bin | Versão: 1.16.2-2
Origem: APT | Pacote: dbus-daemon | Versão: 1.16.2-2
Origem: APT | Pacote: dbus-session-bus-common | Versão: 1.16.2-2
Origem: APT | Pacote: dbus-system-bus-common | Versão: 1.16.2-2
Origem: APT | Pacote: dbus-user-session | Versão: 1.16.2-2
Origem: APT | Pacote: dconf-gsettings-backend | Versão: 0.40.0-5
Origem: APT | Pacote: dconf-service | Versão: 0.40.0-5
Origem: APT | Pacote: debconf | Versão: 1.5.91
Origem: APT | Pacote: debconf-i18n | Versão: 1.5.91
Origem: APT | Pacote: debian-archive-keyring | Versão: 2025.1
Origem: APT | Pacote: debian-faq | Versão: 12.2
